experiment,feature_count,accuracy,balanced_accuracy,macro_f1,industrial_precision,industrial_recall,industrial_f1,natural_f1,other_f1,training_seconds
firms_only,14,0.6688796680497925,0.5029645258842932,0.4924189839432336,0.12371134020618557,0.21052631578947367,0.15584415584415584,0.7822105951602355,0.5392022008253095,5.505666499999961
firms_temporal,21,0.8107883817427386,0.5939599456038368,0.6017490142227225,0.22448979591836735,0.19298245614035087,0.20754716981132076,0.9006870705808869,0.6970128022759602,5.947457399999848
firms_temporal_osm,26,0.8547717842323651,0.6709175553580912,0.6985537903683503,0.6296296296296297,0.2982456140350877,0.40476190476190477,0.9179910998092816,0.7729083665338645,7.790375399999903
full_fusion,34,0.8655601659751038,0.663313509694243,0.6817387148580987,0.52,0.22807017543859648,0.3170731707317073,0.9255455712451861,0.8025974025974026,10.807801599999948
