experiment,accuracy,balanced_accuracy,macro_f1,weighted_f1,industrial_precision,industrial_recall,industrial_f1,natural_precision,natural_recall,natural_f1,other_precision,other_recall,other_f1,training_seconds
slow_boost,0.8655601659751038,0.663313509694243,0.6817387148580987,0.8590113395199179,0.52,0.22807017543859648,0.3170731707317073,0.9243589743589744,0.9267352185089974,0.9255455712451861,0.7725,0.8351351351351352,0.8025974025974026,12.34055120000005
regularized,0.8639004149377594,0.6610392560061076,0.6780401495806195,0.8575976366100196,0.48148148148148145,0.22807017543859648,0.30952380952380953,0.9232736572890026,0.9280205655526992,0.9256410256410257,0.7727272727272727,0.827027027027027,0.7989556135770235,9.630391299999928
shallow_d6,0.8639004149377594,0.6570371074633016,0.6724466287680553,0.8573601199390415,0.48,0.21052631578947367,0.2926829268292683,0.9290322580645162,0.9254498714652957,0.927237604636188,0.762962962962963,0.8351351351351352,0.7974193548387096,5.8205330999999205
randomized,0.8614107883817428,0.6557517604195997,0.6711587987616161,0.8548656840593494,0.48,0.21052631578947367,0.2926829268292683,0.9251612903225807,0.9215938303341902,0.9233741146168706,0.762962962962963,0.8351351351351352,0.7974193548387096,9.61482860000001
baseline,0.8680497925311204,0.6542323002206644,0.671006646759205,0.8600813439039009,0.5,0.19298245614035087,0.27848101265822783,0.9247448979591837,0.9318766066838047,0.9282970550576184,0.7769423558897243,0.8378378378378378,0.8062418725617685,7.4940615000000435
deep_d8,0.8655601659751038,0.6524745012906291,0.6681734931734932,0.8579105334499525,0.4782608695652174,0.19298245614035087,0.275,0.9245524296675192,0.929305912596401,0.926923076923077,0.7725,0.8351351351351352,0.8025974025974026,15.102723699999956
