bin_lower,bin_upper,count,mean_probability,observed_fraction
0.0,0.1,1012,0.009996201821550744,0.005928853754940711
0.1,0.2,40,0.13194132426936026,0.1
0.2,0.30000000000000004,37,0.251372439139546,0.32432432432432434
0.30000000000000004,0.4,16,0.3563320148067529,0.375
0.4,0.5,22,0.4501637976809141,0.2727272727272727
0.5,0.6000000000000001,14,0.5324762788042555,0.42857142857142855
0.6000000000000001,0.7000000000000001,15,0.6544675974105914,0.26666666666666666
0.7000000000000001,0.8,9,0.7413630298908743,0.8888888888888888
0.8,0.9,5,0.8491254080386129,0.6
0.9,1.0,2,0.9203220583867213,1.0
