bin_lower,bin_upper,count,mean_probability,observed_fraction
0.0,0.1,1025,0.007321669674400727,0.006829268292682927
0.1,0.2,49,0.14488516157686962,0.12244897959183673
0.2,0.30000000000000004,25,0.2512095621507495,0.44
0.30000000000000004,0.4,23,0.35393053929659263,0.2608695652173913
0.4,0.5,21,0.43890233140359425,0.2857142857142857
0.5,0.6000000000000001,12,0.5340597509104014,0.5
0.6000000000000001,0.7000000000000001,7,0.6558490691230892,1.0
0.7000000000000001,0.8,7,0.7377616185417125,0.7142857142857143
0.8,0.9,2,0.8552278585958613,1.0
0.9,1.0,1,0.9039488191101729,1.0
