comparison,macro_f1_change,industrial_f1_change
Temporal added to FIRMS,0.10933003027948895,0.051703013967164924
OSM added to FIRMS,0.13464589875184152,0.160987527324161
Sentinel added to FIRMS,0.10461579219945727,-0.03819709702062643
Temporal added when OSM present,0.0714889076732752,0.08793022159358793
OSM added when temporal present,0.09680477614562777,0.197214734950584
Sentinel added to FIRMS+Temporal+OSM,-0.01681507551025163,-0.08768873403019745
Sentinel added to FIRMS+OSM,0.04202001698108415,-0.031117397454031137
