experiment,feature_count,accuracy,balanced_accuracy,macro_f1,industrial_precision,industrial_recall,industrial_f1,natural_precision,natural_recall,natural_f1,other_precision,other_recall,other_f1,training_seconds
firms_only,14,0.6688796680497925,0.5029645258842932,0.4924189839432336,0.12371134020618557,0.21052631578947367,0.15584415584415584,0.796271637816245,0.7686375321336761,0.7822105951602355,0.5490196078431373,0.5297297297297298,0.5392022008253095,5.590116900000112
firms_temporal,21,0.8107883817427386,0.5939599456038368,0.6017490142227225,0.22448979591836735,0.19298245614035087,0.20754716981132076,0.8760631834750912,0.9267352185089974,0.9006870705808869,0.7357357357357357,0.6621621621621622,0.6970128022759602,6.429698299999927
firms_osm,19,0.7983402489626557,0.6184103464850318,0.6270648826950751,0.36363636363636365,0.2807017543859649,0.31683168316831684,0.8850574712643678,0.890745501285347,0.8878923766816144,0.6693121693121693,0.6837837837837838,0.6764705882352942,6.853871199999958
firms_sentinel,22,0.833195020746888,0.5949663640097952,0.5970347761426908,0.13333333333333333,0.10526315789473684,0.11764705882352941,0.9065656565656566,0.922879177377892,0.9146496815286624,0.7608695652173914,0.7567567567567568,0.7588075880758808,7.683367000000089
firms_temporal_osm,26,0.8547717842323651,0.6709175553580912,0.6985537903683503,0.6296296296296297,0.2982456140350877,0.40476190476190477,0.9081761006289308,0.9280205655526992,0.9179910998092816,0.7597911227154047,0.7864864864864864,0.7729083665338645,7.766904599999862
firms_temporal_sentinel,29,0.8356846473029046,0.5894148511926892,0.5914710713318639,0.11363636363636363,0.08771929824561403,0.09900990099009901,0.9096612296110415,0.9318766066838047,0.9206349206349206,0.760989010989011,0.7486486486486487,0.7547683923705722,8.701294099999814
firms_osm_sentinel,27,0.862240663900415,0.6547628537751661,0.6690848996761593,0.4444444444444444,0.21052631578947367,0.2857142857142857,0.9267352185089974,0.9267352185089974,0.9267352185089974,0.765,0.827027027027027,0.7948051948051948,9.754569100000026
full_fusion,34,0.8655601659751038,0.663313509694243,0.6817387148580987,0.52,0.22807017543859648,0.3170731707317073,0.9243589743589744,0.9267352185089974,0.9255455712451861,0.7725,0.8351351351351352,0.8025974025974026,10.665034099999957
