observation_id,source_class,calibrated_predicted_class,label_quality,label_source,temporal_status,frp,brightness,detections_30d,distinct_active_days_30d,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,independent_industrial_distance_km,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other
FW25_00608984,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.39,326.11,69,27,0.15470405,0.22826776,0.3475476,0.858484,0.7915317354924262,0.4435172294222514,0.0071139982258995,0.5493687723518491
FW25_00548614,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,1.0,300.81,3,2,0.47057042,44.81867,0.19312482,0.19058387,0.562023913300395,0.4476171133615265,0.0869876906693224,0.465395195969151
FW25_00627068,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.9,299.15,21,16,0.7249926,1.1636357,0.6190108,6.2549744,1.847675713205969,0.4531695814141709,0.0028764943975808,0.5439539241882482
FW25_00641349,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.85,296.54,9,7,1.0566509,1.1928412,0.9363595,1.978235,1.23463150867884,0.4553731818033333,0.017456056037413,0.5271707621592536
FW25_00104558,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,2.24,321.83,101,30,0.29107738,1.3801348,1.2823559,2.7023847,1.3126957616363937,0.4612033551125299,0.0051947715499213,0.5336018733375487
FW25_00013686,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,EPISODIC,0.91,298.33,2,2,0.45791113,0.4196749,0.08650516,2.2671947,0.43667036308597135,0.4632639544531871,0.0101935120245914,0.5265425335222214
FW25_00467445,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,5.5,341.29,55,19,0.3609089,1.1795679,1.057827,2.9102323,1.108005160291333,0.4641360939587382,0.0021235886070163,0.5337403174342454
FW25_00506980,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,0.68,308.05,7,5,0.6405976,1.6016752,0.5208709,3.3653018,1.7263755022225733,0.4666853547838206,0.0128555264897204,0.520459118726459
FW25_00180949,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,PERSISTENT,2.05,305.5,45,29,0.23950502,0.3346134,0.1119033,6.542919,0.3859559360695448,0.4675428038578291,0.0020424375859148,0.5304147585562561
FW25_00039108,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,6.86,343.38,106,30,0.3288106,1.3595225,1.2486694,2.7631059,1.2888931940168207,0.4811133982621663,0.0016519405180606,0.5172346612197729
FW25_00510936,industrial_fire_candidate,other_uncertain,B_HIGH_CONFIDENCE_WEAK_LABEL,independent_industrial_reference,RECURRENT,1.32,313.5,4,1,0.116950974,0.23999652,0.111082695,1.9439695,0.2775718758020211,0.4829753197374031,0.0067375406581946,0.5102871396044023
FW25_00590902,industrial_fire_candidate,other_uncertain,B_STRONG_WEAK_LABEL,independent_industrial_reference,PERSISTENT,1.85,305.66,89,26,1.2756661,1.3674495,1.2439768,4.771328,1.2450337811132959,0.4905421405154589,0.0030146208379673,0.5064432386465737
