observation_id,source_class,label_quality,label_source,label_conflict_industrial_vs_vegetation,temporal_status,detections_30d,distinct_active_days_30d,frp,brightness,distance_to_strong_industrial_km,distance_to_supporting_industrial_km,distance_to_infrastructure_km,distance_to_vegetation_km,strong_industrial_vs_vegetation_distance_km,strong_industrial_within_1_0km,strong_industrial_within_1_5km,supporting_industrial_within_1_0km,supporting_industrial_within_1_5km,independent_industrial_distance_km,industrial_reference_le_1km,industrial_reference_le_2km,actual_class,raw_prob_industrial,raw_prob_natural,raw_prob_other,calibrated_prob_industrial,calibrated_prob_natural,calibrated_prob_other,raw_predicted_class,calibrated_predicted_class
FW25_00069942,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,58.98,354.34,0.30365098,0.17498143,10.852086,6.1547794,5.8511286,1,1,1,1,76.95721492993654,False,False,natural_vegetation_fire,0.0189208422313381,0.7706970758241108,0.2103820819445511,0.0034108527774182,0.8615072798325237,0.1350818673900579,natural_vegetation_fire,natural_vegetation_fire
FW25_00345498,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,0.87,307.3,12.306979,0.8764707,3.8363094,3.2077703,-9.099209,0,0,1,1,52.03900499784657,False,False,natural_vegetation_fire,0.0163353696608694,0.7273169064187811,0.2563477239203496,0.0034160712695805,0.8258519309453336,0.1707319977850858,natural_vegetation_fire,natural_vegetation_fire
FW25_00614625,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.34,330.32,9.658226,0.10326658,3.390777,10.7103615,1.0521355,0,0,1,1,52.92780826976958,False,False,natural_vegetation_fire,0.0144861229863183,0.6892265349864292,0.2962873420272525,0.003436038896345,0.7925961172567172,0.2039678438469377,natural_vegetation_fire,natural_vegetation_fire
FW25_00039924,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,1.98,327.57,6.9857936,0.64455,12.143512,15.13917,8.153376,0,0,1,1,147.97630198769977,False,False,natural_vegetation_fire,0.0241692548710309,0.8264830066853558,0.1493477384436133,0.0035051101260296,0.9047281539517612,0.0917667359222091,natural_vegetation_fire,natural_vegetation_fire
FW25_00618399,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.57,335.35,0.7523028,0.7931643,25.870968,1.6370169,0.88471407,1,1,1,1,71.69596980370305,False,False,natural_vegetation_fire,0.0137042631077916,0.6617180565757315,0.3245776803164769,0.0035164694307932,0.7675765773056672,0.2289069532635396,natural_vegetation_fire,natural_vegetation_fire
FW25_00061338,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.46,338.18,18.514284,0.41825557,5.380443,15.078161,-3.436123,0,0,1,1,32.767099604167306,False,False,natural_vegetation_fire,0.0224215602856761,0.7906776711858952,0.1869007685284287,0.0036226011880428,0.8782836654532461,0.118093733358711,natural_vegetation_fire,natural_vegetation_fire
FW25_00291473,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,7.2,347.29,0.6757197,0.8522793,8.210294,1.0340016,0.3582819,1,1,1,1,50.48143583668938,False,False,natural_vegetation_fire,0.0273203549490434,0.83966773586076,0.1330119091901964,0.0036615707344939,0.9153526879045304,0.0809857413609759,natural_vegetation_fire,natural_vegetation_fire
FW25_00192269,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.59,334.92,2.2034535,0.28810847,3.1992285,0.5383887,-1.6650648,0,0,1,1,35.29102498142197,False,False,natural_vegetation_fire,0.0217320700204928,0.7604772998324955,0.2177906301470117,0.003790308749382,0.8551430739566546,0.1410666172939634,natural_vegetation_fire,natural_vegetation_fire
FW25_00315548,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,8.29,344.66,0.57704973,0.5744535,4.964286,3.0872753,2.5102255,1,1,1,1,26.78195155878577,False,False,natural_vegetation_fire,0.0173017700555912,0.6911832225530481,0.2915150073913605,0.0038126952591317,0.7958759493907577,0.2003113553501105,natural_vegetation_fire,natural_vegetation_fire
FW25_00083288,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,8.55,350.01,3.4993436,0.18279985,2.3035264,4.1344304,0.6350868,0,0,1,1,17.536312455242662,False,False,natural_vegetation_fire,0.0164796823580804,0.6676478330741398,0.3158724845677798,0.0038864019421999,0.7745465918876843,0.2215670061701158,natural_vegetation_fire,natural_vegetation_fire
FW25_00248959,other_uncertain,C_AMBIGUOUS,insufficient_or_conflicting_evidence,False,EPISODIC,0,0,7.61,343.92,7.3452935,0.5896575,4.502825,17.759588,10.414295,0,0,1,1,48.98308824256155,False,False,other_uncertain,0.0182901070549256,0.6980806928327177,0.2836292001123567,0.0038878228907897,0.8023821403987673,0.1937300367104429,natural_vegetation_fire,natural_vegetation_fire
FW25_00018633,natural_vegetation_fire,B_STRONG_WEAK_LABEL,esa_worldcover_2021,False,EPISODIC,0,0,2.88,333.9,5.856896,0.78000635,6.047626,6.505841,0.64894485,0,0,1,1,104.85631970187245,False,False,natural_vegetation_fire,0.0135231855648231,0.6071634147147975,0.3793133997203793,0.0039075261817222,0.7154040890613054,0.2806883847569722,natural_vegetation_fire,natural_vegetation_fire
