observation_id,full_export_batch,event_time,sentinel_scene_count,sentinel_valid_pixel_count,satellite_available,satellite_extraction_status,B4,B8,B11,B12,NDVI,NBR,NDMI
FW_00011573,1,2022-01-19T20:22:00,3,0,0,scene_present_no_valid_pixels,0.1467,0.175,0.2534,0.2953,0.0879701585327945,-0.255794173931533,-0.1830065359477124
FW_00069430,1,2022-03-07T06:33:00,3,0,0,scene_present_no_valid_pixels,0.0217896551724137,0.1506793103448275,0.0902747126436781,0.0420379310344827,0.7484736411635031,0.5623971166626287,0.2440356554581114
FW_00458266,1,2022-10-21T21:06:00,1,0,0,scene_present_no_valid_pixels,0.2352108695652174,0.2339760869565217,0.2731021739130435,0.2181108695652173,-0.0026244325820793,0.0352008871051915,-0.0771205437547441
FW_00517250,2,2022-11-12T08:28:00,2,0,0,scene_present_no_valid_pixels,0.1705432432432432,0.3124378378378378,0.3615,0.266,0.2937792689812457,0.0802472854588568,-0.0728285897388462
FW_00530964,2,2022-11-17T19:20:00,2,0,0,scene_present_no_valid_pixels,0.04795,0.1555,0.10555,0.07335,0.5286311132956499,0.3589687568276163,0.1913426546638574
FW_00817731,2,2023-03-27T20:24:00,2,0,0,scene_present_no_valid_pixels,0.0619425196850393,0.0590393700787401,0.0763212598425196,0.0820425196850393,-0.0240455847623886,-0.1629385927229132,-0.1275604342057403
FW_00913895,3,2023-04-17T20:30:00,2,0,0,scene_present_no_valid_pixels,0.0993969696969697,0.1264363636363636,0.1871262626262626,0.1610232323232323,0.1193235553301115,-0.1206846101387326,-0.1938933985946327
FW_01043343,3,2023-07-18T20:04:00,1,0,0,scene_present_no_valid_pixels,0.2379899999999999,0.294335,0.33818,0.2261999999999999,0.105874839432312,0.1308955372757723,-0.0693033034228951
FW_01056596,3,2023-10-12T19:50:00,3,0,0,scene_present_no_valid_pixels,0.1224850467289719,0.1171831775700934,0.1321733644859813,0.1591266355140186,-0.0249365647212603,-0.150581009111657,-0.0613131921494892
FW_01254568,3,2024-03-05T08:44:00,4,0,0,scene_present_no_valid_pixels,0.0739,0.2765,0.1768,0.1108,0.5781963470319634,0.4278337206300026,0.2199426428413854
FW_01273822,3,2024-03-11T21:00:00,3,0,0,scene_present_no_valid_pixels,0.0865,0.0981,0.144,0.1387,0.0628385698808234,-0.1714527027027027,-0.1895910780669145
FW_01352094,4,2024-04-02T06:39:00,1,0,0,scene_present_no_valid_pixels,0.083604329004329,0.1385679653679653,0.1544181818181818,0.1185528138528138,0.246583841505301,0.0888437927932819,-0.0487976874235462
FW_01380450,4,2024-04-05T09:00:00,3,0,0,scene_present_no_valid_pixels,0.162831067961165,0.3070495145631068,0.3732427184466019,0.2413563106796117,0.3069206811201771,0.1197888211270506,-0.0973006068001988
FW_01385053,4,2024-04-06T07:04:00,2,0,0,scene_present_no_valid_pixels,0.0792,0.1912,0.2181,0.1368,0.4142011834319526,0.1658536585365853,-0.0657219643293428
FW_01617488,4,2024-10-13T20:09:00,5,0,0,scene_present_no_valid_pixels,0.0347,0.1143,0.0929,0.0657,0.5342281879194631,0.2699999999999999,0.1032818532818532
FW_01658600,4,2024-11-18T08:08:00,3,0,0,scene_present_no_valid_pixels,0.3368,0.3976,0.2749,0.1596,0.082788671023965,0.4271356783919597,0.1824535315985129
